"QTL","Observed Value","Mean","SEM","Lower 95% CI","Upper 95% CI","Additive Lower 95% CI","Additive Upper 95% CI"
5000,0,0.00506750788643533,0.00127314298183432,0.00257219349487013,0.00756282227800054,420.132154551552,459.524227529617
5239,0,0.00533817034700316,0.00129839975304343,0.00279335359350234,0.00788298710050397,308.89701836708,329.116460596029
5490,0,0.0056,0.00132138788466864,0.00301012733644191,0.00818987266355809,420.132154551552,459.524227529617
5753,0,0.00588454258675079,0.00133099427117161,0.0032758417516253,0.00849324342187628,137.297816880785,161.307188626847
6029,0,0.00617192429022082,0.00134482381006329,0.00353611805694484,0.0088077305234968,308.89701836708,329.116460596029
6318,0,0.00646498422712934,0.00137754271161483,0.00376505012519862,0.00916491832906005,420.132154551552,459.524227529617
6620,0,0.00673533123028391,0.00142033175816224,0.00395153213818747,0.00951913032238036,308.89701836708,329.116460596029
6938,0,0.00701483117702745,0.0014490280057237,0.0041747884732191,0.00985487388083581,308.89701836708,329.116460596029
7270,0,0.00733764594509309,0.00149686772173114,0.00440383912087954,0.0102714527693066,420.132154551552,459.524227529617
7618,0,0.00765257178920795,0.00152487330197776,0.00466387503634488,0.010641268542071,308.89701836708,329.116460596029
7983,0,0.00799147996213317,0.00156899086381561,0.00491631437698218,0.0110666455472842,308.89701836708,329.116460596029
8365,0,0.00835247712212054,0.00160179912833657,0.00521300852011321,0.0114919457241279,308.89701836708,329.116460596029
8766,0,0.00876648785105712,0.00164029102183676,0.00555157652409267,0.0119813991780216,420.132154551552,459.524227529617
9186,0,0.00917923635216157,0.00169439427152768,0.00585828460435633,0.0125001880999668,308.89701836708,329.116460596029
9626,0,0.00962290943515305,0.00174770273704847,0.00619747501485597,0.0130483438554501,420.132154551552,459.524227529617
10087,0,0.010092142631745,0.00178136147106708,0.00660073830500626,0.0135835469584838,420.132154551552,459.524227529617
10570,0,0.0105806248027769,0.00183530832015756,0.00698348659474137,0.0141777630108124,420.132154551552,459.524227529617
11076,0,0.0110842537077943,0.00187928916683576,0.00740091462425988,0.0147675927913286,420.132154551552,459.524227529617
11607,0,0.0116207005364468,0.00190540451477179,0.00788617631151411,0.0153552247613796,137.297816880785,161.307188626847
12163,0,0.0122082675923004,0.00194974452259043,0.00838683854896894,0.0160296966356319,420.132154551552,459.524227529617
12746,0,0.0127996213316504,0.00198900749498448,0.00890123827650056,0.0166980043868002,308.89701836708,329.116460596029
13356,0,0.013356894919533,0.00202004262730529,0.00939768412277894,0.017316105716287,420.132154551552,459.524227529617
13996,0,0.0140110444935311,0.00207984451961196,0.00993462414164863,0.0180874648454135,420.132154551552,459.524227529617
14666,0,0.0147892079520353,0.00214549815535726,0.010584108838638,0.0189943070654327,420.132154551552,459.524227529617
15369,0,0.0154001262227832,0.00217582723167587,0.011135583212117,0.0196646692334494,308.89701836708,329.116460596029
16105,0,0.016112338277059,0.00224251796982529,0.0117170838215176,0.0205075927326005,420.132154551552,459.524227529617
16876,0,0.0168305459135374,0.00230188616573974,0.0123189319321765,0.0213421598948983,420.132154551552,459.524227529617
17685,0,0.0177128431681919,0.00236180406249358,0.013083792267164,0.0223418940692197,420.132154551552,459.524227529617
18532,0,0.0185020511202272,0.0024184728712896,0.0137619313949124,0.023242170845542,137.297816880785,161.307188626847
19419,0,0.0194682865257179,0.00249202786694203,0.0145840016580413,0.0243525713933944,308.89701836708,329.116460596029
20349,0,0.0204206374250552,0.00258567634771402,0.0153528049078587,0.0254884699422518,308.89701836708,329.116460596029
21324,0,0.0212975702114232,0.00261635885221194,0.0161696010904552,0.0264255393323911,420.132154551552,459.524227529617
22345,0,0.0223625749447775,0.00270730432733345,0.0170563559680145,0.0276687939215405,308.89701836708,329.116460596029
23416,1,0.0235787314610287,0.00276795982045945,0.0181536299022742,0.0290038330197832,420.132154551552,459.524227529617
24537,0,0.0246726641414141,0.00281192755802303,0.0191613874005533,0.030183940882275,137.297816880785,161.307188626847
25713,0,0.0259160353535354,0.00292420357027653,0.0201847016723299,0.0316473690347408,420.132154551552,459.524227529617
26944,0,0.0271698768550679,0.00300614912393388,0.0212779328400009,0.0330618208701349,420.132154551552,459.524227529617
28235,0,0.0284493211240922,0.00309726797645163,0.0223787874397778,0.0345198548084066,420.132154551552,459.524227529617
29587,0,0.0298459109567414,0.00321096189759957,0.0235525412817159,0.0361392806317669,420.132154551552,459.524227529617
31005,0,0.0312554467950742,0.0032799718810292,0.0248268200379529,0.0376840735521955,420.132154551552,459.524227529617
32490,0,0.0327638143353331,0.00335239680085576,0.0261932373437685,0.0393343913268977,420.132154551552,459.524227529617
34046,0,0.0342229943145925,0.00344845725079398,0.0274641423008103,0.0409818463283748,420.132154551552,459.524227529617
35677,0,0.0358932406822489,0.00351328795350131,0.0290073228260679,0.0427791585384299,308.89701836708,329.116460596029
37385,0,0.0376190777005685,0.00360557446137813,0.03055228161269,0.0446858737884471,137.297816880785,161.307188626847
39176,0,0.0394494630448515,0.0036924502312799,0.0322123935768363,0.0466865325128667,420.132154551552,459.524227529617
41053,0,0.0412233807266983,0.00384214541940522,0.0336929140812985,0.048753847372098,420.132154551552,459.524227529617
43019,0,0.043296682464455,0.00393265012996545,0.0355888298459259,0.051004535082984,420.132154551552,459.524227529617
45080,0,0.0453286978508217,0.00402841453208147,0.0374331504531443,0.0532242452484992,308.89701836708,329.116460596029
47239,0,0.0474579646017699,0.00411800123196503,0.0393868304988269,0.055529098704713,308.89701836708,329.116460596029
49502,0,0.0497610619469027,0.00419045727378054,0.0415479166115389,0.0579742072822664,420.132154551552,459.524227529617
51873,1,0.0522098609355247,0.00432609028139821,0.0437308797901154,0.0606888420809339,308.89701836708,329.116460596029
54357,0,0.0548034134007585,0.00445322403794959,0.0460752546712893,0.0635315721302278,308.89701836708,329.116460596029
56961,1,0.0574634840341448,0.00460872438247299,0.0484305502298261,0.0664964178384635,420.132154551552,459.524227529617
59689,0,0.0602646221941195,0.00473053853313648,0.0509929370416931,0.069536307346546,420.132154551552,459.524227529617
62548,0,0.063056293485136,0.00489923131582325,0.0534539765541916,0.0726586104160803,308.89701836708,329.116460596029
65544,0,0.0660484024043024,0.0050655884376647,0.0561200315059771,0.0759767733026278,420.132154551552,459.524227529617
68684,0,0.0693093957608352,0.0052104705977849,0.0590970610466719,0.0795217304749985,308.89701836708,329.116460596029
71974,0,0.0726197405884214,0.00542510144965718,0.0619867371346173,0.0832527440422255,137.297816880785,161.307188626847
75421,0,0.0761135716545397,0.00556295070372431,0.0652103886274683,0.0870167546816111,308.89701836708,329.116460596029
79034,0,0.0797997469155331,0.00575000401443185,0.0685299461362859,0.0910695476947802,308.89701836708,329.116460596029
82819,0,0.0834645569620253,0.00586858025228042,0.0719623510271727,0.0949667628968779,308.89701836708,329.116460596029
86786,0,0.0874140550807218,0.00601789714008239,0.0756191934234937,0.0992089167379498,308.89701836708,329.116460596029
90943,0,0.0916964229186451,0.00624331664565516,0.0794597471490816,0.103933098688209,308.89701836708,329.116460596029
95299,1,0.0960785058562836,0.00647388955114563,0.083389915496148,0.108767096216419,420.132154551552,459.524227529617
99864,0,0.100515986071542,0.00669350787365309,0.0873969517089463,0.113635020434137,137.297816880785,161.307188626847
