"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
NA,0.03,NA,0.02,NA,NA,0.02,NA,0.02,NA,NA,0.04,NA,NA,0.04,NA,0.02,0.03,0.02,0.02,NA,NA,NA,0.03,0.02,0.02,0.07,0.04,0.02,0.03,0.04,0.07,0.06,0.06,0.02,0.03,0.02,NA,0.02,0.04,0.05,0.05,0.06,0.04,0.05,0.05,0.01,0.07,0.07,0.02,0.19,0.07,0.13,0.13,0.15,0.1,0.11,0.15,0.08,0.1,0.09,0.09,0.11,0.14,0.11,0.13,0.17,0.16,0.13,0.09,0.16,0.09,0.15,0.22,0.12,0.18,0.16,0.19,0.34,0.24,0.22,0.26,0.29,0.25,0.31,0.31,0.34,0.31,0.35,0.3,0.35,0.39,0.35,0.5,0.35,0.33,0.46,0.5,0.41,0.67,0.5,0.56,0.64,0.49,0.56,0.61,0.75,0.65,0.77,0.85,0.89,0.89,1.1,1,1.12,1.17,0.91,1.06,1,1.46,1.17,1.44,1.63,1.37,1.28,1.63,1.57,1.69,1.77,1.93,2.05,1.93,2.18,2.29,2.41,2.46,2.92,2.65,2.91,3.16,2.91,3.41,3.1,3.89,3.79,3.69,4.43,4.48,4.7,4.51,5.12,5.2,5.68,5.84,6.08,5.7,7.03,6.22,6.63,7.67,8.44,7.94,9.43,8.63,8.72,9.5,9.63,10.95,11.79,11.55,12.66,13,13.67,13.75,15.01,15.46,15.65,16.39,14.78,16.58,19.56,19.56,19.94,20.88,19.54,20.31,22.74,24.01,24.05,25.96,27.43,29.12,32.13,34.22,38.21,40.51,39.12,55.08,59.05,63.99
NA,NA,0.05,NA,0.02,NA,NA,NA,0.02,NA,NA,NA,0.02,0.03,NA,0.07,0.02,NA,0.02,0.03,0.05,0.03,0.03,NA,0.07,0.03,0.02,0.05,0.03,0.04,0.04,0.03,0.04,NA,0.05,0.05,0.04,0.05,0.04,0.05,0.06,0.02,0.07,0.03,0.08,0.08,0.04,0.04,0.11,0.07,0.07,0.08,0.05,0.07,0.17,0.05,0.09,0.07,0.09,0.07,0.13,0.11,0.2,0.12,0.15,0.14,0.1,0.11,0.12,0.13,0.16,0.24,0.16,0.14,0.2,0.13,0.18,0.19,0.14,0.21,0.19,0.27,0.21,0.22,0.36,0.23,0.23,0.32,0.31,0.3,0.35,0.32,0.33,0.41,0.36,0.38,0.52,0.45,0.48,0.62,0.42,0.65,0.48,0.55,0.63,0.59,0.64,0.67,0.77,0.63,0.83,0.86,0.99,0.98,0.95,0.83,0.99,1.02,1.09,1.27,1.03,1.16,1.2,1.39,1.4,1.49,1.63,1.82,1.67,2.09,1.84,2.05,2.05,2.28,1.92,2.35,2.24,2.45,2.78,2.79,2.84,3.31,3.3,3.64,3.48,3.56,3.43,4.16,4.68,4.77,4.67,4.6,5.01,5.26,6.18,6.33,5.78,6.3,6.71,7.13,7.23,7.19,8,8.09,8.92,9.88,9.51,9.88,10.47,11.41,11.52,11.94,11.89,12.89,13.56,13.34,14.95,14.55,15.53,16.6,17.56,18.4,17.75,19.04,21.18,21.11,20.53,22.87,23.45,25.37,26.63,28.68,28.28,33.21,35.3,38.91,35.86,51.52,55.18,60.02
NA,NA,0.02,0.03,0.02,NA,0.02,0.04,NA,NA,0.02,0.03,0.03,NA,0.04,NA,0.07,0.03,0.02,NA,NA,0.03,0.03,NA,0.04,0.02,NA,0.03,NA,0.02,0.02,0.02,0.03,0.04,0.03,0.03,0.04,0.02,0.04,0.08,0.09,0.02,0.02,0.08,0.08,0.08,0.05,0.11,0.07,0.08,0.04,0.08,0.07,0.07,0.06,0.07,0.04,0.14,0.05,0.06,0.15,0.1,0.11,0.11,0.16,0.07,0.09,0.11,0.11,0.17,0.18,0.13,0.27,0.16,0.2,0.2,0.25,0.16,0.14,0.28,0.18,0.32,0.26,0.26,0.22,0.24,0.35,0.29,0.17,0.42,0.32,0.32,0.43,0.3,0.44,0.36,0.48,0.61,0.45,0.61,0.42,0.52,0.64,0.68,0.69,0.69,0.67,0.95,0.7,0.77,0.86,0.91,0.9,0.96,0.93,1.19,1.15,1.17,1.2,1.12,1.11,1.5,1.28,1.54,1.75,1.7,1.85,1.51,1.86,1.83,1.89,2.27,2.15,2.6,1.99,2.3,2.55,2.95,2.9,3.31,3.19,3.23,3.68,3.37,3.93,3.93,4.64,4.06,4.52,4.87,5.34,5.61,5.33,5.22,6.2,7.26,6,6.68,6.88,8.21,8.68,7.85,9.25,8.64,9.13,9.47,11.06,9.86,11.58,10.34,11.62,12.03,13.28,14.27,13.31,15.61,15.67,16.18,16.87,16.53,18.77,17.6,19.74,18.63,20.54,22.03,21.2,23.53,24.57,27.69,28.33,28.43,33.27,36.78,38.79,40.64,41.43,55.97,59.46,63.99
NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.04,0.03,0.02,NA,NA,NA,0.05,0.04,NA,0.06,NA,0.02,0.04,0.03,0.05,NA,NA,NA,0.02,NA,NA,0.06,0.02,0.05,0.02,0.06,0.04,NA,0.04,0.06,0.03,0.08,0.06,0.05,0.05,0.03,0.05,0.08,0.07,0.02,0.08,0.16,0.07,0.05,0.09,0.13,0.1,0.12,0.09,0.09,0.11,0.11,0.04,0.08,0.11,0.13,0.15,0.11,0.1,0.17,0.18,0.16,0.16,0.14,0.12,0.2,0.16,0.15,0.24,0.23,0.22,0.32,0.25,0.2,0.3,0.23,0.31,0.35,0.34,0.35,0.33,0.4,0.47,0.43,0.39,0.46,0.49,0.42,0.47,0.44,0.51,0.48,0.35,0.66,0.6,0.59,0.62,0.73,0.72,0.76,0.65,0.67,0.93,0.79,0.74,1.21,0.87,0.95,1.19,1.22,1.21,1.07,1.11,1.33,1.47,1.49,1.48,1.59,1.48,1.67,1.81,1.8,2.33,2.39,2.28,2.66,2.55,2.8,2.44,3.01,2.85,3.41,3.22,3.29,3.46,3.61,3.63,4.24,3.94,4.39,4.35,4.91,4.64,5.51,5.19,5.8,6.71,6.41,5.58,6.76,6.84,7.47,7.84,7.62,8.31,8.72,9.12,9.69,10.03,9.37,11.07,11.98,11.78,11.61,12.09,12.53,13.65,14.25,14.44,16.48,15.51,15.67,17.42,18.01,20.25,20.77,21.25,21.38,21.41,23.95,26.48,27.01,27.54,30.89,34.31,36.42,40.73,41.72,54.61,57.81,61.55
0.04,NA,0.02,NA,0.03,NA,NA,0.03,NA,NA,NA,0.02,0.02,NA,NA,0.02,0.04,0.02,0.02,0.02,NA,0.03,NA,NA,NA,NA,0.04,NA,0.02,0.03,0.04,0.05,0.06,0.03,0.02,NA,0.08,0.05,0.03,0.05,0.09,0.07,0.05,0.05,0.07,0.06,0.08,0.09,0.04,0.04,0.06,0.09,0.11,0.14,0.08,0.1,0.16,0.1,0.06,0.14,0.13,0.08,0.15,0.16,0.13,0.17,0.06,0.15,0.06,0.18,0.16,0.19,0.24,0.11,0.24,0.15,0.19,0.25,0.24,0.27,0.27,0.25,0.27,0.15,0.27,0.29,0.32,0.31,0.3,0.3,0.3,0.39,0.35,0.39,0.38,0.37,0.56,0.36,0.43,0.58,0.53,0.54,0.66,0.55,0.68,0.71,0.7,0.79,0.7,0.78,0.77,0.85,0.91,0.87,0.84,1.11,0.89,0.96,1.34,1.17,1.31,1.44,1.39,1.27,1.23,1.52,1.57,1.67,1.96,1.98,2.09,2.21,2.33,2.28,2.22,2.46,2.56,2.51,3.08,2.82,2.95,3.76,3.35,3.82,3.61,3.5,3.88,3.51,4.57,3.98,4.7,4.48,5.38,5.6,5.39,5.77,5.71,6.26,5.76,7.12,7.49,7.02,7.83,7.69,7.65,8.5,9.1,8.11,9.06,10.01,10.73,10.66,10.88,11.59,10.85,11.87,13.03,13.47,13.54,14.66,14.08,16.04,16.23,17.62,18.49,19.38,20.03,21.46,22.68,25.43,26.61,28.37,30.97,33.2,37.12,39.48,43.59,55.01,59.73,63.27
NA,NA,0.02,NA,0.02,NA,0.02,0.02,0.01,NA,NA,NA,0.02,NA,0.07,NA,0.03,0.02,0.04,0.03,NA,0.05,0.02,0.02,0.02,NA,NA,NA,NA,NA,0.03,0.04,0.03,NA,0.02,0.02,0.04,0.04,NA,0.06,0.1,0.03,0.07,NA,0.08,0.03,0.08,0.07,0.08,0.06,0.05,0.12,0.05,0.07,0.04,0.1,0.08,0.1,0.13,0.09,0.16,0.13,0.08,0.11,0.13,0.09,0.11,0.13,0.12,0.12,0.18,0.16,0.16,0.14,0.15,0.15,0.19,0.14,0.2,0.25,0.19,0.21,0.24,0.19,0.22,0.26,0.28,0.25,0.32,0.37,0.32,0.28,0.26,0.31,0.41,0.56,0.42,0.47,0.42,0.67,0.61,0.41,0.54,0.52,0.6,0.7,0.68,0.63,0.67,0.78,0.71,0.74,0.71,1,0.94,0.82,0.95,1.1,1.1,1.18,1.44,1.28,1.28,1.14,1.43,1.67,1.65,1.82,1.57,1.8,1.88,1.98,1.95,2,2.64,2.35,2.64,2.93,2.59,3.18,3.25,3.27,3.07,3.32,3.9,2.94,3.56,3.55,3.99,3.86,4.36,4.45,5.02,5.15,5.12,5.36,5.39,6.18,6.09,5.8,6.11,6.98,7.42,7.11,7.03,8.32,8.16,8.87,8.47,8.85,9.59,10.93,10.94,9.32,12.11,11.99,12.26,13.58,12.89,13.72,13.45,15.33,15.29,16.17,17.31,18.47,19.85,20.93,21.1,23.08,24.69,27.2,30.01,32.3,36.77,39.37,39.39,53.36,57.66,60.27
NA,NA,NA,NA,0.03,0.02,NA,0.03,NA,NA,0.05,0.02,NA,NA,NA,NA,0.02,NA,NA,0.02,0.04,NA,0.03,0.03,NA,0.04,NA,0.02,0.03,0.02,0.03,0.08,NA,0.03,0.03,NA,0.04,0.08,0.02,NA,0.07,0.05,0.09,0.06,0.04,0.08,0.07,0.02,0.03,0.07,0.04,0.08,0.09,0.13,0.16,0.1,0.11,0.11,0.1,0.11,0.13,0.1,0.15,0.13,0.17,0.09,0.16,0.14,0.15,0.21,0.19,0.19,0.17,0.14,0.16,0.18,0.23,0.16,0.23,0.23,0.18,0.26,0.32,0.27,0.42,0.28,0.31,0.19,0.32,0.3,0.4,0.3,0.36,0.33,0.38,0.42,0.42,0.49,0.44,0.42,0.54,0.55,0.51,0.78,0.66,0.64,0.98,0.79,0.8,0.93,0.92,0.89,0.99,0.82,0.91,0.97,1.02,1.01,1.14,1.19,1.55,1.31,1.26,1.45,1.46,1.76,1.96,1.58,1.75,1.8,2,2.27,2.08,2.3,2.3,2.45,3.16,3.08,2.78,2.7,2.94,3.29,3.36,3.13,4.08,3.88,3.73,3.52,4.14,4.59,4.39,5.43,4.94,4.85,5.44,5.53,5.46,6.42,7.01,7.45,6.46,7.3,7.63,7.51,8.11,7.92,9.15,8.06,8.96,10.44,9.91,11.21,10.53,12.2,11.76,12.5,14.64,13.85,14.73,15.32,15.14,15.59,17.28,17.89,18.58,19.65,20.09,21.83,24.8,25.64,26.23,28.32,31.52,33.56,36.98,41.5,42.71,54.78,59.65,63.41
NA,NA,NA,0.06,0.02,0.02,0.05,NA,0.04,NA,0.02,NA,0.02,NA,NA,NA,0.02,NA,NA,0.04,0.02,0.04,NA,NA,0.03,0.02,0.05,NA,0.07,0.1,NA,NA,0.04,0.04,0.02,0.04,0.07,0.02,0.04,0.05,0.08,0.05,0.03,0.07,0.09,0.06,0.09,0.05,0.04,0.04,0.03,0.07,0.14,0.02,0.12,0.1,0.08,0.09,0.07,0.04,0.11,0.16,0.13,0.2,0.13,0.06,0.11,0.09,0.16,0.19,0.14,0.12,0.16,0.14,0.2,0.17,0.18,0.24,0.18,0.21,0.21,0.22,0.26,0.3,0.26,0.29,0.31,0.3,0.35,0.27,0.47,0.37,0.38,0.35,0.42,0.35,0.35,0.6,0.5,0.46,0.57,0.48,0.67,0.56,0.45,0.6,0.68,0.71,0.92,0.81,0.77,0.63,0.88,0.95,0.95,0.9,1.15,0.82,1.05,1.34,1.2,1.27,1.49,1.36,1.4,1.6,1.54,1.86,1.77,1.81,2.13,2.03,1.67,2.22,2.19,2.43,2.38,2.22,2.46,2.88,2.89,3.25,3.15,3.41,3.37,3.43,3.57,3.88,4.13,4.17,3.6,4.61,5.02,5.51,4.68,5.55,5.56,5.34,6.5,5.93,6.11,7.42,6.78,7.42,7.5,8.15,7.74,8.54,8.9,8.13,9.75,9.67,10.59,10.6,10.46,10.68,11.7,11.8,13.97,14.62,14.35,15.82,16.17,16.22,17.22,18.69,19.34,20.25,22.63,23.46,24.94,26.81,30.28,34.41,35.85,39.96,39.58,53.48,57.6,60.3
NA,0.02,0.05,NA,0.02,0.02,0.06,0.02,NA,0.03,0.03,0.03,NA,NA,NA,0.04,0.06,0.02,0.05,0.06,0.02,0.07,0.07,0.04,0.05,0.04,0.05,0.03,0.09,0.1,0.05,0.05,0.06,0.06,0.03,0.04,0.06,0.06,0.06,0.09,0.09,0.08,0.05,0.05,0.06,0.08,0.08,0.11,0.09,0.09,0.06,0.11,0.17,0.1,0.13,0.18,0.13,0.13,0.19,0.15,0.18,0.23,0.16,0.14,0.18,0.17,0.19,0.16,0.21,0.14,0.25,0.23,0.19,0.24,0.23,0.28,0.28,0.29,0.31,0.43,0.35,0.41,0.28,0.37,0.47,0.48,0.37,0.42,0.56,0.59,0.55,0.59,0.52,0.68,0.61,0.53,0.49,0.79,0.67,0.81,0.98,0.87,0.86,0.91,0.95,1.04,0.97,1.27,1.09,1.19,1.19,1.27,1.34,1.53,1.45,1.38,1.57,1.42,1.64,1.94,2.06,2.06,2.03,2.07,2.04,2.22,2.51,2.55,2.7,2.56,2.55,2.76,3.28,3.15,3.44,3.55,3.28,3.64,3.59,3.79,4.16,4.54,4.46,4.63,4.93,5.15,5.14,5.61,6.19,6.57,6.69,6.47,7.22,7.55,8.29,8.16,8.68,8.93,9.11,9.38,10.7,10.32,11.04,11.51,12.05,12.3,12.57,12.93,13.82,13.55,14.99,14.84,14.91,16.45,15.98,17.86,17.94,17.51,17.62,19.57,21.93,20.76,22.08,21.12,21.86,23.44,23.77,23.43,25.96,27.5,27.22,30.76,33.26,35.2,38.29,38.79,39.81,54.13,59.97,NA
0.02,0.03,NA,0.05,0.02,0.02,NA,0.06,0.02,0.02,NA,0.02,NA,0.02,0.04,0.04,0.04,0.02,0.03,0.03,0.03,0.07,0.04,0.07,0.08,0.02,0.07,0.02,0.04,0.02,0.02,0.11,0.04,NA,0.03,NA,0.07,0.09,0.12,0.03,0.06,0.02,0.1,0.14,0.13,0.1,0.12,0.12,0.1,0.13,0.18,0.08,0.09,0.1,0.1,0.16,0.13,0.13,0.13,0.17,0.15,0.19,0.17,0.22,0.15,0.24,0.19,0.3,0.18,0.24,0.29,0.15,0.25,0.17,0.26,0.22,0.33,0.3,0.42,0.34,0.39,0.39,0.4,0.43,0.49,0.45,0.44,0.5,0.43,0.62,0.46,0.49,0.58,0.51,0.59,0.52,0.68,0.82,0.72,0.89,0.62,0.82,0.97,0.81,0.89,0.88,0.96,0.96,0.86,1.06,1.07,1.33,1.39,1.31,1.45,1.35,1.36,1.69,1.95,1.63,1.61,1.97,2.02,2.13,2.1,2.16,2.41,2.27,2.33,2.49,2.98,2.7,2.89,3.27,3.45,3.38,3.5,3.57,3.94,3.65,4.17,4.26,4.43,4.94,4.95,5.42,5.29,5.31,6.06,5.9,5.94,6.61,6.67,7.64,7.87,8.28,8.38,8.37,9.22,9.39,9.72,11.05,10.16,10.71,11.74,11.34,12.91,10.92,13.65,13.77,12.97,14.04,14.66,16.08,17.28,16.68,17.28,17.71,16.91,16.94,18.34,21.16,20.17,21.11,19.54,22.76,22.32,23.08,24.51,25.78,26.37,28.69,30.22,33.79,35.44,39.21,38.21,52.28,58.04,NA
