"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.1,0.1,NA,NA,NA,0.1,NA,NA,0.2,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,0.4,0.2,0.3,0.3,0.3,0.1,0.1,0.3,0.4,0.3,NA,0.2,0.2,0.1,0.1,0.4,0.5,0.4,0.6,0.4,0.2,0.2,0.5,0.4,0.3,0.3,0.6,0.7,0.4,1.1,0.5,0.4,0.6,0.6,1.2,0.8,0.3,1,0.2,1,1.4,0.9,0.3,1.2,0.6,0.8,0.9,0.9,1.6,0.5,0.8,1.5,1.4,1.4,1.9,1.4,0.6,1,1.6,2.2,1.8,2.3,2.4,2.4,2.4,3.1,2.9,2.9,3.6,2.5,2.6,2.8,4.2,2.3,4.2,3.1,3,5.2,4.5,5.3,5.2,5.5,5,3.7,5.1,7.8,7.4,4,7.4,8.2,7.8,9.2,7.4,8.3,9.8,8.4,9.5,10.8,10.3,12.8,13.3,11.6,10.4,16.6,19.2,14,16.9,15.3,18.6,18.1,15.3,16.3,18.4,17.4,17.7,23.5,24.8,24.4,23.9,29.9,26.4,29,31.2,38,33.5,36,32.8,NA,NA,NA
NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,0.3,NA,0.1,NA,NA,NA,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,0.1,NA,0.3,0.1,NA,NA,0.1,0.5,0.1,NA,0.1,NA,0.2,NA,0.2,0.3,0.4,NA,NA,0.1,0.4,0.3,0.2,NA,0.4,0.3,0.3,0.4,0.6,0.1,0.3,0.8,0.6,0.2,0.5,0.9,0.8,0.7,1.1,0.6,0.9,0.7,0.7,1,0.8,0.7,0.8,1,0.6,1.7,0.7,1.2,1,0.8,0.9,1.4,1.6,1.4,0.8,0.9,1.5,0.5,1.4,2.2,2.8,2.4,2,2.2,1.9,2.5,2.9,1.9,3.1,2.6,2.4,4.1,2.4,2.3,3.5,4.5,4.3,2.5,4.2,4.8,6,4.4,2.9,4.6,4.1,3.9,6.3,6.6,1.9,6.5,8.1,6.7,7.5,9.8,10.7,7,5.6,7,11.3,14.1,7.6,11,9.3,10.3,10.2,13.8,10.8,15.4,16.8,17.2,13.9,19.9,14.1,13,14.1,19.1,21.2,19,21.7,23.8,21.7,25.9,26.5,22.8,25.6,31.7,34.8,38,42,43.6,54,56.8,60.5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,0.1,0.1,NA,NA,NA,NA,NA,0.2,NA,0.2,NA,0.1,NA,NA,NA,0.3,NA,0.1,0.1,NA,NA,NA,NA,0.3,0.2,0.3,0.3,0.1,NA,0.4,0.3,0.4,NA,0.2,0.4,0.2,0.4,0.1,NA,0.1,NA,0.5,0.3,0.3,0,0.5,0.1,0.3,0.2,0.6,0.6,0.4,0.7,0.6,0.6,0.4,0.9,0.4,0.9,0.1,0.9,0.9,0.6,1,1,0.9,1,1,0.4,1.1,0.7,0.9,1.8,1.1,1.5,0.8,1.2,1.9,2.6,1.7,2,1.7,1.8,1.1,2.7,1.8,2.4,2.1,2.3,1.9,2.4,3.2,2.6,3.2,2.3,3.1,2.7,2.6,3.5,3,3.1,4.7,4.6,4.8,3.2,5.1,4.1,3.6,4.6,5.4,7,7.3,5.5,3.8,6.2,5.8,9.1,10,10.3,10.7,13.4,9.6,10.3,10.4,10.2,8.4,8.6,10.8,12.3,16.6,9.1,12.8,15.4,13.7,13,15.3,18.4,24.9,20.9,22.3,20.8,20.2,25.1,26.8,29,30.2,29.5,41.5,35.2,46.1,52.9,56.9,60.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.1,NA,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,NA,0.1,0.2,0.2,NA,0.1,0.1,0,NA,NA,0.3,0.1,0.1,0.3,NA,NA,0.1,0.2,NA,0.3,0.2,NA,0.3,0.4,0.4,0.5,0.2,0.6,0.1,NA,0.5,0.6,0.2,0.3,0.2,0.1,0.4,NA,0.4,0.7,0.9,0.7,0.6,0.7,0.3,0.7,0.8,0.3,0.6,0.9,0.4,0.8,0.2,0.6,0.3,0.5,1,0.9,0.3,0.8,1,1.5,1.1,0.5,0.6,1.7,0.8,1.4,1.1,1.5,1.6,1.1,3,1.2,1.1,0.9,1.3,2.6,3.1,2.7,2.9,3,5,3.1,4.2,4.7,4,3.2,5,3.6,5,4.5,4.1,4.8,3.5,6.4,5.2,4.7,6.8,7.6,5.7,8.8,6.3,5.8,6.3,7,7.9,10.2,10.3,9.6,9.2,10.1,10.9,8.8,10.5,9.6,10.5,11.9,10.4,11.1,14.9,11.4,13.3,14,12.3,13.7,16.7,20.6,20.3,19.7,25.3,27.6,25.2,25.6,29,NA,34.7,40.9,40.6,52.7,57.4,60.1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,0.2,0.2,NA,NA,NA,0.3,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.1,NA,NA,0.1,0.3,0.1,NA,NA,NA,0.1,0.1,0.2,NA,NA,0.1,0.3,NA,0.1,0.2,NA,0.2,0.1,0.2,NA,0.2,0.2,0.2,0.3,0.5,0.4,0.3,0.4,NA,0.2,0.7,0.3,0.3,0.5,0.2,0.2,0.6,0.5,NA,0.7,0.4,0.7,0.4,0.5,0.9,0.4,0.6,0.3,0.3,0.4,1.1,0.4,0.9,0.5,1,0.9,1.6,0.5,0.9,1.2,1.3,1.7,0.8,1.1,1.2,0.6,1.4,2.1,1.6,1.6,1.3,1.7,2,1.8,1.5,2.2,2.9,2.2,1.7,2,2.1,2.3,2.6,2.8,3.1,3.1,3.2,3.6,3.4,2.9,3.1,5,5,3.5,4.7,3.7,3.5,4.2,5.6,5,5.2,6,5.4,6.8,5.7,6.1,6.3,8.1,6.1,7,7.7,9.5,9.8,10.4,11.6,10.7,11.7,9.3,14.1,10.4,14.7,13.5,11.5,9,13.2,9.9,11.2,17.2,12.7,15.9,20.8,14.9,16,11.2,21.1,19.8,18.8,22,21.1,17.4,23.4,22.9,24.2,28.9,24.5,33.4,27.4,25.7,38.4,33.5,39.3,36.5,52.4,NA,NA
NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.1,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,NA,0.2,NA,0.1,0.1,0.1,NA,0.1,NA,NA,0.1,NA,NA,0.2,0.3,0.1,0.2,0.2,0.2,NA,0.2,0,0.3,0.1,0.4,NA,NA,NA,0.3,NA,NA,0.1,NA,0.2,0.4,0,0.2,0.1,NA,0.5,0.2,0.3,0.3,NA,0.2,0.2,0.7,0.2,0.2,0.8,0.5,NA,0.2,0.6,0.4,0.5,0.7,0.7,0.6,1.1,0.6,0.9,0.7,1.3,0.8,1,0.9,0.6,1,0.7,1.1,1,1.2,0.5,0.7,0.9,2.1,1.9,2.4,1.4,1.5,2.3,2,2.1,1.5,1.7,2.4,1.7,2.1,2.4,3.8,3.5,2.3,2.7,4.2,2.9,3.1,3.8,4.3,3.8,4.2,1.9,5.2,4.6,3.8,5.2,5.4,4.3,6.4,7.7,7.5,5.6,5.7,6.1,8.5,8.1,6.2,6,9.7,9.6,6.5,8.7,11.2,8.5,9,10,9.6,8.9,11.4,8.9,15.9,15,12.4,13.4,15.4,17.6,8.1,17.7,21.8,19.8,14.9,18.2,16.5,20.7,19.5,NA,20.5,22.5,28.3,22.3,26.3,25.4,29.9,28.1,31.5,31.6,39.7,40.5,44.6,53.3,58.2,NA
NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.1,NA,0.1,NA,NA,NA,0,NA,NA,NA,0.1,NA,NA,0.3,0.2,NA,0.5,0.2,NA,0.1,NA,0.2,NA,0,NA,0.1,0.2,0.1,0.3,0.3,0.4,NA,NA,0.2,0.2,0.1,0.1,0.3,0.5,0.1,0.3,0.4,0.5,0.1,0.1,0.4,0.2,0.4,0.2,0.2,0.4,0.4,0.2,0.4,0.1,0.7,0.3,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.8,1.3,0.4,1.3,0.6,0.5,0.6,0.1,0.9,0.8,2.3,1.3,1.2,1.6,1,1.2,1.6,1.1,1.3,1.4,1.5,1.3,2.2,1.9,1.3,2.1,1.4,2,1.9,2.8,2.9,3.5,2.8,2.1,3.1,3.1,2.3,5.1,3.4,4.1,3.7,3.8,4.1,3.4,4.6,4.8,3.8,4.2,4.6,4.3,4.3,6.2,5.1,6.7,5.8,7.4,6.6,8.7,8.9,7.3,6.1,7.9,8.8,8.8,7.6,11.3,10.7,9.6,11.8,10.6,11.7,9.4,13.4,12.7,16.3,13.8,15.9,14.1,12.5,13.3,15.3,13.2,15.5,13.8,16.8,16.1,18,16.2,18.8,18.5,23.2,24.6,26.9,30.2,30,30,38.3,32.8,29.7,48,54.1,NA,NA
NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.1,NA,0.1,NA,0.2,NA,0.2,0.1,0.1,0.2,NA,NA,NA,NA,0.2,NA,NA,NA,0.1,NA,NA,0.1,NA,NA,0.2,NA,0.2,NA,0.2,NA,0.1,NA,NA,0.1,0.3,NA,NA,NA,NA,0.3,NA,0.3,NA,NA,0.4,NA,0.1,0.3,0.2,0.3,0,0.3,0.4,NA,0.3,NA,0.4,0.1,0.5,0.4,NA,0.1,0.4,0.3,0.4,0.5,0.1,0.6,0.6,0.8,0.5,1,0.8,0.5,0.8,0.7,0.7,1.1,0.8,0.6,0.2,0.8,0.6,0.3,1.1,1.3,0.6,0.4,1.2,1,1.4,1,1.3,1.7,1.7,0.9,1.5,1.6,2.1,2.1,2,2,0.9,1.6,2.3,2.3,2.3,2,3.3,2.4,2.2,3,3.8,4.5,3.2,4,2.8,3.9,4,3.8,4,4.6,3.6,4,4.7,5.1,5.1,4.8,6.4,6.3,4.2,8.1,5.3,7,5.9,6.6,8.9,6.7,6.9,8.5,7.8,6.4,9.7,12.2,9,12.3,15,12.2,12,12.1,13.2,13,14.8,15.6,16.5,15.4,15.1,16.6,11,13.3,14.2,11.8,16.5,19.2,20.6,18.2,22.9,20.1,23.9,23.4,27.6,27.6,34.6,30.6,41,36.2,42,54.1,57.9,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
