"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,0.03,0.05,NA,NA,0.02,0.04,NA,NA,NA,0.03,0.04,0.02,0.05,NA,0.03,0.02,0.02,NA,NA,0.02,0.03,0.02,0.02,NA,0.02,NA,NA,0.04,0.03,NA,0.03,0.03,NA,0.03,0.05,NA,0.06,NA,0.06,NA,NA,NA,0.09,0.04,0.04,0.02,0.07,0.05,0.05,0.06,0.08,0.05,0.05,0.08,NA,0.06,0.03,0.06,0.06,0.12,0.06,0.07,0.06,0.06,0.05,0.11,0.12,0.08,0.12,0.06,0.15,0.09,0.07,0.1,0.1,0.05,0.12,0.17,0.15,0.17,0.13,0.15,0.14,0.22,0.23,0.2,0.18,0.22,0.31,0.28,0.19,0.22,0.19,0.17,0.25,0.27,0.27,0.33,0.32,0.29,0.39,0.39,0.37,0.41,0.4,0.53,0.56,0.33,0.45,0.51,0.43,0.55,0.49,0.59,0.64,0.56,0.63,0.93,0.91,0.73,0.88,1.28,0.88,1.12,1.21,1.12,1.17,1.3,1.38,1.23,1.22,1.74,1.55,1.87,1.54,1.7,1.55,1.9,2.01,2,2.12,2.31,2.28,2.28,2.71,2.67,2.51,2.82,3.02,2.84,3.13,3.12,3.58,3.1,3.22,3.43,3.58,3.86,4.11,4.28,4.06,4.09,4.61,4.32,5.15,5.01,4.99,5.5,6.32,6.65,6.92,7.47,7.72,8.13,10.11,12.5,14.11,NA
0.02,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,0.02,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,0.02,NA,0.03,NA,NA,0.03,NA,0.02,NA,NA,0.03,NA,0.03,NA,0.02,0.02,0.05,0.04,NA,NA,0.02,0.06,0.05,0.07,NA,0.04,0.04,NA,0.05,0.05,0.04,0.04,0.04,0.06,0.04,0.07,0.03,0.1,0.03,0.13,0.06,0.06,NA,0.05,0.08,0.1,0.05,0.08,0.06,0.06,0.1,0.04,0.08,0.09,0.04,0.11,0.1,0.13,0.16,0.09,0.07,0.13,0.12,0.08,0.17,0.1,0.17,0.18,0.12,0.19,0.18,0.23,0.14,0.17,0.22,0.27,0.21,0.2,0.3,0.15,0.27,0.31,0.27,0.42,0.46,0.37,0.36,0.24,0.37,0.4,0.33,0.51,0.53,0.43,0.5,0.62,0.64,0.6,0.72,0.73,0.72,0.78,0.74,0.78,0.74,0.83,0.88,0.85,0.85,1.09,0.85,1.01,1.24,1.05,1.37,1.36,1.42,1.71,1.61,1.64,1.72,1.68,1.94,1.55,2.04,2.15,2.19,2.44,2.04,2.17,2.44,2.39,2.13,2.42,2.77,2.5,3.21,3.18,3.78,3.48,3.4,3.59,4.2,3.7,4.1,4,4.11,4.6,4.77,5.17,4.77,5.31,5.78,5.99,6.4,6.98,7.44,8.06,8.93,10.69,13.86,14.57,NA
NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.03,0.02,0.02,0.02,NA,NA,NA,NA,0.03,0.02,0.02,NA,0.02,NA,NA,0.03,NA,NA,0.02,0.02,0.02,0.03,NA,0.02,NA,0.02,0.03,NA,0.03,0.02,NA,NA,0.04,0.04,NA,0.06,0.04,0.03,0.04,0.07,NA,0.06,0.04,0.03,NA,0.08,0.04,0.02,0.03,0.07,0.06,0.08,0.06,0.07,0.02,0.13,0.09,0.05,0.08,0.02,0.05,0.04,0.02,0.09,0.08,0.09,0.17,0.12,0.17,0.09,0.1,0.14,0.08,0.13,0.09,0.07,0.2,0.15,0.19,0.11,0.11,0.2,0.19,0.12,0.1,0.21,0.19,0.24,0.13,0.24,0.23,0.22,0.31,0.25,0.3,0.27,0.26,0.22,0.4,0.34,0.48,0.3,0.39,0.45,0.45,0.57,0.34,0.65,0.63,0.48,0.62,0.62,0.47,0.59,0.6,0.65,0.75,0.53,0.75,0.82,0.87,0.82,0.85,0.92,1.06,0.98,0.95,0.93,1.19,1.13,0.96,1.16,1.4,1.32,1.63,1.33,1.6,1.54,1.7,1.6,1.57,1.9,1.52,1.85,1.91,2.06,2.32,2.25,2.16,2.5,2.42,2.58,2.21,2.88,2.68,3.26,2.88,3.44,3.18,3.39,3.25,3.86,3.76,4.02,4.14,4.53,4.93,4.65,5.72,6.43,7.14,7.18,8.17,9.14,10.74,14.16,14.87,NA
NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,0.03,0.02,0.05,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.02,0.02,NA,NA,0.04,NA,NA,NA,NA,NA,0.02,0.06,0.03,0.03,NA,0.01,0.02,NA,0.04,0.02,0.02,0.07,0.05,NA,0.07,0.07,0.04,0.11,0.06,0.06,0.02,0.04,0.06,0.07,0.1,0.07,0.09,0.06,0.07,0.11,0.17,0.06,0.1,0.06,0.1,0.1,0.1,0.11,0.13,0.09,0.09,0.09,0.18,0.17,0.08,0.15,0.13,0.17,0.11,0.24,0.2,0.19,0.21,0.2,0.18,0.17,0.17,0.4,0.2,0.26,0.22,0.25,0.23,0.29,0.37,0.41,0.27,0.39,0.37,0.47,0.33,0.38,0.51,0.37,0.53,0.49,0.57,0.48,0.56,0.62,0.47,0.47,0.62,0.8,0.75,0.7,0.79,0.97,0.74,0.69,0.77,1.01,1.08,1.3,0.96,1,0.98,0.89,1.34,1.35,1.36,1.3,1.2,1.61,1.49,1.39,1.5,1.73,1.64,2.2,1.89,2.02,2.14,2.12,2.22,2.66,2.49,2.34,2.29,2.63,2.73,2.59,2.87,3,2.91,3.15,3.19,3.58,3.49,3.76,4.1,4.47,4.64,4.91,5.36,6.26,6.38,7.6,7.53,8.36,9.26,10.96,14.02,14.9,NA
0.02,NA,0.01,NA,0.04,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,0.05,NA,NA,NA,NA,0.05,0.03,0.03,NA,0.02,0.04,NA,0.05,0.04,0.02,0.03,0.04,0.04,NA,NA,0.02,NA,0.03,0.02,0.02,0.03,0.06,NA,0.05,0.05,NA,0.03,0.04,0.05,0.02,0.05,0.05,0.09,0.08,0.07,0.07,0.1,0.07,0.07,0.08,0.06,0.12,0.09,0.08,0.08,0.11,0.1,0.07,0.06,0.08,0.11,0.11,0.03,0.08,0.1,0.13,0.11,0.15,0.16,0.12,0.13,0.14,0.14,0.15,0.14,0.11,0.2,0.17,0.15,0.25,0.19,0.24,0.25,0.18,0.24,0.16,0.23,0.24,0.29,0.27,0.19,0.28,0.43,0.3,0.3,0.33,0.44,0.38,0.47,0.43,0.4,0.38,0.44,0.43,0.46,0.5,0.79,0.57,0.65,0.65,0.62,0.65,0.64,0.75,0.66,0.86,0.86,0.96,0.99,1.01,1.05,1.01,1.25,0.88,1.37,1.32,1.13,1.3,1.62,1.71,1.67,1.51,1.63,1.68,2.07,2.09,2.16,2.08,2.34,2.03,2.66,2.75,2.73,2.92,3.18,2.67,2.97,3.29,3.06,2.98,3.27,3.06,3.8,3.8,4,4.01,3.76,4.55,4.17,4,4.37,4.42,4.74,4.33,4.84,4.84,4.68,5.01,4.91,5.19,5.16,5.5,5.77,6.47,7.15,7.56,7.38,8.01,8.43,10.33,13.18,14.09,NA
NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,0.02,NA,0.04,NA,0.02,0.02,0.03,NA,NA,NA,NA,NA,0.04,0.02,NA,NA,NA,0.04,NA,0.02,NA,0.02,NA,0.03,0.02,0.02,0.02,0.07,NA,0.04,0.02,0.04,NA,0.02,0.03,0.05,NA,0.07,0.02,0.03,0.07,0.02,0.02,0.06,0.1,0.04,0.03,0.06,0.02,0.07,0.09,0.05,0.08,0.05,0.08,0.1,0.1,0.11,0.12,0.14,0.08,0.08,0.13,0.13,0.12,0.13,0.13,0.13,0.1,0.12,0.17,0.19,0.13,0.16,0.21,0.11,0.14,0.2,0.15,0.17,0.3,0.25,0.22,0.23,0.22,0.19,0.26,0.27,0.25,0.28,0.36,0.37,0.3,0.34,0.39,0.3,0.41,0.3,0.42,0.41,0.39,0.47,0.48,0.38,0.44,0.65,0.53,0.76,0.69,0.62,0.83,0.63,0.72,0.87,0.73,0.79,0.96,0.86,0.86,0.8,1.17,1.2,0.9,1.09,1.21,1.26,1.3,1.64,1.5,1.57,1.77,1.76,1.92,1.64,1.74,1.85,1.73,2.21,2,2.04,2.85,2.61,2.88,2.7,2.66,2.79,2.89,2.8,3.16,3.01,3.14,3.72,3.53,3.34,3.64,3.79,4.27,3.43,3.92,4.39,4.23,4.38,4.23,4.52,4.47,4.79,4.66,5.33,4.99,5.49,5.77,6.28,6.88,7.41,7.44,8.22,9.03,10.42,14.18,14.57,NA
0.02,0.02,NA,NA,NA,0.04,0.03,0.02,NA,NA,NA,NA,0.03,NA,NA,NA,0.02,NA,0.03,NA,NA,0.02,0.04,0.02,NA,NA,0.04,NA,NA,NA,NA,0.02,0.02,0.03,NA,0.04,0.02,0.03,0.02,NA,NA,0.03,0.02,0.03,0.03,0.05,0.03,0.05,NA,NA,0.02,0.06,NA,0.04,0.05,NA,0.05,NA,0.04,0.04,0.08,0.07,0.04,0.06,0.05,0.05,0.03,0.1,0.08,0.04,0.04,0.1,0.06,0.12,0.06,0.13,0.12,0.11,0.09,0.12,0.14,0.13,0.11,0.14,0.19,0.11,0.15,0.11,0.2,0.19,0.14,0.15,0.17,0.19,0.2,0.24,0.16,0.2,0.2,0.2,0.19,0.23,0.2,0.18,0.25,0.27,0.31,0.28,0.25,0.39,0.33,0.28,0.36,0.28,0.35,0.26,0.34,0.39,0.42,0.5,0.41,0.43,0.57,0.5,0.48,0.55,0.49,0.59,0.72,0.57,0.71,0.63,0.84,0.82,0.75,0.93,0.91,0.83,1.09,1.06,0.86,1.13,1.19,1.22,1.34,1.2,1.34,1.49,1.53,1.47,1.68,1.43,1.99,1.85,2.01,1.77,2.02,1.92,1.98,2.32,2.13,2.22,2.75,2.22,2.69,2.63,2.77,2.96,2.64,3.03,3,2.88,2.75,3.04,2.92,3.05,3.49,3.11,3.76,3.32,3.12,3.24,3.84,3.62,3.76,4.41,4.37,4.57,5.19,5.68,6.25,6.61,7.62,7.75,8.66,9.92,11.83,14.32,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,0.02,0.02,NA,NA,NA,0.03,0.03,NA,NA,0.04,0.02,NA,0.03,NA,NA,0.06,0.02,0.04,0.02,0.03,0.01,0.05,0.02,0.02,NA,0.03,0.07,0.03,0.04,0.02,NA,0.03,NA,0.08,0.02,0.05,0.04,NA,0.02,0.07,0.02,0.06,NA,0.04,0.04,0.02,0.09,0.07,0.03,0.11,0.08,0.09,0.02,0.08,0.09,0.08,0.1,0.07,0.09,0.07,0.05,0.09,0.1,0.07,0.06,0.1,0.14,0.12,0.13,0.13,0.16,0.14,0.15,0.22,0.13,0.11,0.27,0.15,0.12,0.13,0.22,0.21,0.12,0.14,0.18,0.12,0.14,0.21,0.23,0.29,0.32,0.25,0.31,0.32,0.3,0.29,0.34,0.27,0.4,0.34,0.36,0.45,0.48,0.45,0.44,0.33,0.41,0.51,0.53,0.58,0.51,0.47,0.54,0.76,0.75,0.56,0.85,0.68,0.67,0.89,0.89,0.8,0.98,0.91,1.1,1.1,1.19,1.08,0.98,1.32,1.24,1.34,1.18,1.48,1.62,1.63,1.95,1.8,1.59,1.74,1.88,1.96,2.03,2.23,2.2,2.48,2.72,2.51,2.42,2.51,2.66,3.05,2.86,2.82,2.88,3.09,2.98,2.8,3.32,3.05,3.16,3.24,3.05,3.14,3.8,3.55,3.56,3.46,3.92,4.39,4.43,4.59,5.09,5.4,6.39,7.12,7.49,8.05,8.75,9.5,11.82,14.44,14.98,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
