"QTL","Observed Value","Mean","SEM","Lower 95% CI","Upper 95% CI","Additive Lower 95% CI","Additive Upper 95% CI"
5000,0,0.00536277602523659,0.0019188525332171,0.00160189416848762,0.00912365788198556,420.229023933364,429.602214156177
5239,0,0.00599369085173502,0.0019188525332171,0.00223280899498604,0.00975457270848399,305.741131932836,313.87502376656
5490,0,0.00630914826498423,0.00197003091432126,0.00244795862448404,0.0101703379054844,420.229023933364,429.602214156177
5753,0,0.00651945320715037,0.0022380438121759,0.00213296793946289,0.0109059384748378,142.348068920239,146.880377528123
6029,0,0.00683491062039958,0.00236768249194484,0.00219433820936165,0.0114754830314375,305.741131932836,313.87502376656
6318,0,0.00736067297581493,0.00236768249194484,0.002720100564777,0.0120012453868529,420.229023933364,429.602214156177
6620,0,0.00778128286014721,0.00205249435288571,0.00375846785001937,0.0118040978702751,305.741131932836,313.87502376656
6938,0,0.00799410960345009,0.00236842963062958,0.00335207282749861,0.0126361463794016,305.741131932836,313.87502376656
7270,0,0.00841485221415799,0.00268378054531883,0.00315473900292381,0.0136749654253922,420.229023933364,429.602214156177
7618,0,0.00862522351951194,0.00284585027000498,0.00304745948490859,0.0142029875541153,305.741131932836,313.87502376656
7983,0,0.00894078047754286,0.00303219423696215,0.00299778897896714,0.0148837719761186,305.741131932836,313.87502376656
8365,0,0.00915115178289681,0.00320255334966621,0.00287426255898293,0.0154280410068107,305.741131932836,313.87502376656
8766,0,0.00957189439360471,0.00316082448749694,0.00337679223665843,0.015766996550551,420.229023933364,429.602214156177
9186,0,0.0106237509203745,0.00210108176663913,0.00650570632918798,0.0147417955115609,305.741131932836,313.87502376656
9626,0,0.0108341222257284,0.00205314203176009,0.00681003778833325,0.0148582066631236,420.229023933364,429.602214156177
10087,0,0.0113600504891133,0.00197065257128381,0.00749764242335576,0.0152224585548708,420.229023933364,429.602214156177
10570,0,0.0117807930998212,0.00210108176663913,0.00766274850863471,0.0158988376910077,420.229023933364,429.602214156177
11076,0,0.01251709266856,0.00200405584130195,0.00858921539660107,0.016444969940519,420.229023933364,429.602214156177
11607,0,0.0128326496265909,0.00173795220804232,0.00942632589197613,0.0162389733612057,142.348068920239,146.880377528123
12163,0,0.0133585778899758,0.00236842963062958,0.00871654111402433,0.0180006146659273,420.229023933364,429.602214156177
12746,0,0.0140948774587146,0.00228279524710326,0.00962068099031303,0.0185690739271162,305.741131932836,313.87502376656
13356,0,0.0146208057220995,0.00210108176663913,0.010502761130913,0.018738850313286,420.229023933364,429.602214156177
13996,0,0.0152519196381614,0.00184899503852392,0.0116279559550612,0.0188758833212615,420.229023933364,429.602214156177
14666,0,0.0163037761649311,0.00173795220804232,0.0128974524303163,0.0197100998995459,420.229023933364,429.602214156177
15369,0,0.0164089618176081,0.00191945804048539,0.0126468931884209,0.0201710304467953,305.741131932836,313.87502376656
16105,0,0.0171452613863469,0.00238935872338289,0.0124622043423698,0.021828318430324,420.229023933364,429.602214156177
16876,0,0.0180919322604397,0.00238935872338289,0.0134088752164626,0.0227749893044167,420.229023933364,429.602214156177
17685,0,0.0189334174818555,0.00220889870621647,0.0146040555721741,0.0232627793915369,420.229023933364,429.602214156177
18532,0,0.0196697170505943,0.00245107398711077,0.0148657003124142,0.0244737337887744,142.348068920239,146.880377528123
19419,0,0.0203008309666561,0.00214795180989399,0.0160909227787363,0.024510739154576,305.741131932836,313.87502376656
20349,0,0.021037130535395,0.00173795220804232,0.0176308068007802,0.0244434542700098,305.741131932836,313.87502376656
21324,0,0.0218786157568108,0.00210108176663913,0.0177605711656243,0.0259966603479972,420.229023933364,429.602214156177
22345,0,0.0225097296728726,0.00210108176663913,0.0183916850816861,0.0266277742640591,305.741131932836,313.87502376656
23416,1,0.0234564005469654,0.00268378054531883,0.0181962873357312,0.0287165137581996,420.229023933364,429.602214156177
24537,0,0.0246212121212121,0.00250544631729602,0.0197106275741134,0.0295317966683108,142.348068920239,146.880377528123
25713,0,0.026199494949495,0.00220959595959596,0.0218687664483017,0.0305302234506882,420.229023933364,429.602214156177
26944,0,0.0273655404694243,0.00179546596244943,0.0238464918475559,0.0308845890912927,420.229023933364,429.602214156177
28235,0,0.0289443216503526,0.00241162808912527,0.0242176174515619,0.0336710258491433,420.229023933364,429.602214156177
29587,0,0.0301020945163667,0.00253261960120323,0.0251382513114682,0.0350659377212652,420.229023933364,429.602214156177
31005,0,0.0319966319334807,0.00300106881999437,0.0261146451311656,0.0378786187357958,420.229023933364,429.602214156177
32490,0,0.0333649089569519,0.0039480053328094,0.0256269606938734,0.0411028572200304,420.229023933364,429.602214156177
34046,0,0.034744156664561,0.00414241220739229,0.026625177928953,0.0428631354001689,420.229023933364,429.602214156177
35677,0,0.0367445778058539,0.00462417166898247,0.0276813678763178,0.04580778773539,305.741131932836,313.87502376656
37385,0,0.0379027163613392,0.00465284897746565,0.0287832999400025,0.0470221327826759,142.348068920239,146.880377528123
39176,0,0.0407454200884397,0.00434230166925696,0.0322346652066879,0.0492561749701915,420.229023933364,429.602214156177
41053,0,0.0434965771458662,0.00324271812919234,0.0371409664006341,0.0498521878910983,420.229023933364,429.602214156177
43019,0,0.0456029489204845,0.00255384005328744,0.0405975143937652,0.0506083834472037,420.229023933364,429.602214156177
45080,0,0.0473029919932575,0.00257412383541311,0.0422578019841017,0.0523481820024133,305.741131932836,313.87502376656
47239,0,0.0497260851243152,0.00237217240817482,0.0450767126391729,0.0543754576094575,305.741131932836,313.87502376656
49502,0,0.0519384745048462,0.00276134480026995,0.0465263381474201,0.0573506108622722,420.229023933364,429.602214156177
51873,1,0.0539401601348504,0.00346702121194782,0.0471449234257963,0.0607353968439045,305.741131932836,313.87502376656
54357,0,0.0567846607669617,0.00316581946930399,0.0505797686255701,0.0629895529083532,305.741131932836,313.87502376656
56961,1,0.0594372431236168,0.00333090539135401,0.0529087885206527,0.065965697726581,420.229023933364,429.602214156177
59689,0,0.0615449467804827,0.00335085111088305,0.0549773992855958,0.0681124942753695,420.229023933364,429.602214156177
62548,0,0.0641998734977862,0.00425478306359067,0.0558606519311175,0.0725390950644549,305.741131932836,313.87502376656
65544,0,0.067383739322999,0.00472419630593739,0.0581244847074646,0.0766429939385335,420.229023933364,429.602214156177
68684,0,0.0707581988822103,0.00449996589546597,0.0619384277954384,0.0795779699689821,305.741131932836,313.87502376656
71974,0,0.0738163028577454,0.00412881407791878,0.0657239759661627,0.0819086297493282,142.348068920239,146.880377528123
75421,0,0.0780343773067595,0.00338268795367403,0.0714044307466209,0.0846643238668981,305.741131932836,313.87502376656
79034,0,0.0816197405884214,0.00221448908573236,0.0772794217362289,0.0859600594406138,305.741131932836,313.87502376656
82819,0,0.085337552742616,0.00287144674869539,0.0797096205316484,0.0909654849535836,305.741131932836,313.87502376656
86786,0,0.0899018676796455,0.00301975055845821,0.0839832653427727,0.0958204700165183,305.741131932836,313.87502376656
90943,0,0.0950722802574654,0.00514667021135684,0.0849849920029009,0.10515956851203,305.741131932836,313.87502376656
95299,1,0.100559248707397,0.00671018807453188,0.0874075217518242,0.11371097566297,420.229023933364,429.602214156177
99864,0,0.10562414266118,0.0082567901907733,0.0894411312593604,0.121807154062999,142.348068920239,146.880377528123
104647,0,0.110583517990925,0.00918739455567806,0.092576555550037,0.128590480431814,305.741131932836,313.87502376656
109660,0,0.115827262168726,0.00939829323681709,0.0974069459084177,0.134247578429033,142.348068920239,146.880377528123
114913,0,0.119945095554852,0.00984156283199751,0.100655986852549,0.139234204257155,142.348068920239,146.880377528123
120417,0,0.125580904098014,0.0100315742538237,0.105919379852281,0.145242428343748,305.741131932836,313.87502376656
126185,0,0.131284326151246,0.0100315742538237,0.111622801905513,0.15094585039698,420.229023933364,429.602214156177
132229,0,0.136887760499312,0.0110864074008391,0.11515880127573,0.158616719722895,420.229023933364,429.602214156177
138562,0,0.143597883597884,0.0102640047855933,0.123480803880974,0.163714963314793,420.229023933364,429.602214156177
145199,0,0.148195194241558,0.0103601530501679,0.127889667388906,0.16850072109421,420.229023933364,429.602214156177
152154,0,0.154595510376959,0.0114637407114695,0.132126991454373,0.177064029299545,420.229023933364,429.602214156177
