"QTL","Observed Value","Mean","SEM","Lower 95% CI","Upper 95% CI","Additive Lower 95% CI","Additive Upper 95% CI"
5000,0,0.00525762355415352,0.00110785002658809,0.00308627740176912,0.00742896970653792,413.76812538593,439.459082015177
5239,0,0.00546792849631966,0.00142247626272016,0.00267992625252502,0.0082559307401143,304.123000072076,323.074592705863
5490,0,0.00578338590956888,0.00158776749427355,0.0026714188049693,0.00889535301416845,413.76812538593,439.459082015177
5753,0,0.00609884332281809,0.00110785002658809,0.00392749717043369,0.00827018947520249,135.590177069342,150.244302006697
6029,0,0.00609884332281809,0.00110785002658809,0.00392749717043369,0.00827018947520249,304.123000072076,323.074592705863
6318,0,0.00630914826498423,0.00113739787869526,0.00407988938664925,0.0085384071433192,413.76812538593,439.459082015177
6620,0,0.0064143007360673,0.00131335394288084,0.00384017430906717,0.00898842716306742,304.123000072076,323.074592705863
6938,0,0.00662669611864942,0.00109312136798288,0.00448421760667181,0.00876917463062702,304.123000072076,323.074592705863
7270,0,0.00694225307668034,0.000834885235425873,0.00530590808402139,0.0085785980693393,413.76812538593,439.459082015177
7618,0,0.00715262438203429,0.000910934473319069,0.00536722562205295,0.00893802314201563,304.123000072076,323.074592705863
7983,0,0.00778373829809614,0.0012753082626467,0.00528418003412227,0.01028329656207,304.123000072076,323.074592705863
8365,0,0.00809929525612707,0.0012753082626467,0.00559973699215319,0.0105988535201009,304.123000072076,323.074592705863
8766,0,0.00830966656148101,0.00131376838085587,0.005734727850976,0.010884605271986,413.76812538593,439.459082015177
9186,0,0.00862522351951194,0.0015566055103554,0.00557433278107877,0.0116761142579451,304.123000072076,323.074592705863
9626,0,0.00894078047754286,0.00182186894663814,0.00536998295758019,0.0125115779975055,413.76812538593,439.459082015177
10087,0,0.00946670874092774,0.00220889870621647,0.00513734683124633,0.0137960706506091,413.76812538593,439.459082015177
10570,0,0.00978226569895866,0.00250465570627762,0.0048732307209818,0.0146913006769355,413.76812538593,439.459082015177
