"Chromosome","GeneStart","GeneEnd"
1,38432711,38438967
1,27312237,27316024
1,8099841,8100336
1,33893316,33895003
1,24199537,24202943
1,17360438,17364411
1,30398795,30400222
1,7558348,7558835
1,28676701,28677269
1,37282143,37286084
1,10140971,10141319
1,36457249,36457735
1,39040529,39040988
1,36287117,36291272
1,34000720,34003619
1,5305498,5307619
1,30576531,30581362
1,30577132,30581362
1,40407601,40408246
1,35259698,35263493
1,636241,641241
1,637533,641241
1,30666843,30671208
1,3672490,3675028
1,41729879,41732428
1,41729879,41730893
1,37023185,37025835
1,37023868,37026408
1,37023185,37026623
1,28523468,28526574
1,11601791,11602805
1,8420521,8422771
1,8420748,8422175
1,40427233,40431808
1,41569909,41570556
1,34523813,34524309
1,3300226,3306225
1,3298864,3306225
1,3298526,3306225
1,3299498,3306225
1,3297889,3306225
1,28256342,28257747
1,11756491,11764274
1,2801730,2802379
1,37795643,37796278
1,40822190,40822746
1,4537694,4543291
1,32068240,32068918
1,39201311,39201522
1,2647241,2649685
1,6981812,6984290
1,8459446,8461884
1,10227241,10227840
1,19578867,19579962
1,11153405,11155547
1,27631492,27635634
1,34906950,34907456
1,11541040,11546100
1,13766165,13768633
1,33149836,33153442
1,35854442,35858027
1,35855957,35857403
1,4345802,4364789
1,6317195,6319158
1,6317195,6319702
1,39627777,39628415
1,24050821,24053384
1,8841849,8846958
1,8840815,8847062
1,8841321,8846958
1,41859911,41862508
1,41859660,41863769
1,41859518,41862508
1,4654934,4657803
1,5008597,5011971
1,39261950,39265383
1,35125300,35126450
1,40690819,40694346
1,40690819,40694587
1,13655900,13657969
1,8014441,8021664
1,36359506,36361021
1,27449388,27452821
1,35191120,35191317
1,9652692,9654689
1,29550682,29553320
1,2133531,2139011
1,2134126,2138877
1,34231250,34231852
1,18791897,18797661
1,9869018,9870454
1,9866238,9870454
1,23853605,23854123
1,28684959,28688290
1,22520187,22520462
1,120962,123970
1,28229105,28231880
1,7951142,7955998
1,7951167,7955998
1,7951140,7955998
1,14086449,14086978
1,12689396,12690390
1,29811840,29821879
1,29815135,29821879
1,36380096,36384311
1,17627789,17629646
1,32200059,32200363
1,42017703,42033495
1,5162858,5165483
1,16853124,16853612
1,16853124,16853303
1,39435452,39437343
1,5447079,5448641
1,42054981,42057304
1,42057734,42060493
1,42061163,42061795
1,36188443,36190219
1,29054772,29055490
1,7426779,7427646
1,2260882,2261391
1,39369689,39372382
1,29049277,29052348
1,3509484,3510035
1,31350452,31354284
1,36212340,36212616
1,8533957,8545477
1,8533957,8545735
1,35610413,35610920
1,36506992,36514022
1,1330396,1334696
1,1330396,1335006
1,27419348,27421121
1,36271384,36276819
1,35464991,35467739
1,35465172,35467382
1,40212484,40212636
1,41149885,41150151
1,24396985,24402799
1,24398972,24402498
1,33500670,33502376
1,40949325,40950038
1,41414599,41415260
1,41414336,41416320
1,5420480,5422391
1,32934113,32939336
1,1394650,1397085
1,10874531,10880053
1,1350076,1352637
1,34185196,34192680
1,35344218,35345801
1,34982676,34984734
1,38830629,38831177
1,30222717,30223919
1,33429289,33431898
1,13658117,13661996
1,14549071,14549865
1,41230595,41233217
1,11314944,11315295
1,39108137,39109380
1,28883885,28885527
1,29589271,29593188
1,9880816,9886766
1,9882646,9886766
1,14066405,14070148
1,14066301,14070310
1,35308998,35312028
1,35308648,35312028
1,28335992,28337455
1,7840871,7841131
1,39680445,39682891
1,4801999,4808814
1,25297898,25297948
1,41886545,41889715
1,41886487,41889715
1,41248522,41252733
1,14520972,14524098
1,24665553,24670907
1,2913118,2914505
1,24657945,24660823
1,24657837,24661500
1,41734690,41741160
1,28799430,28801087
1,28799119,28801087
1,23915063,23918200
1,6578991,6582303
1,38572788,38573986
1,9665305,9671698
1,9665305,9669596
1,38364190,38367508
1,12962135,12968801
1,12961459,12968801
1,12961290,12968801
1,12962137,12968801
1,14262186,14266300
1,14262186,14265525
1,14262309,14266114
1,22029209,22048505
1,7438180,7444525
1,32396043,32398070
1,11964266,11964694
1,5159216,5159839
1,6167184,6169040
1,41651673,41654994
1,1965785,1967281
1,10058242,10059950
1,23168593,23169374
1,30771283,30777582
1,30771283,30777689
1,4572459,4573987
1,8493281,8495752
1,8491619,8496959
1,8493442,8495752
1,6225746,6228940
1,6225746,6228006
1,8900046,8900558
1,33826548,33833410
1,33243870,33246424
1,36575950,36577647
1,7916851,7922031
1,7916529,7922031
1,26214747,26216279
1,39281365,39284961
1,32878219,32880907
1,32877622,32880945
1,31475884,31476472
1,27474875,27477996
1,33479416,33480833
1,34126874,34129066
1,36250157,36251919
1,18875077,18875976
1,36549285,36554326
1,36549896,36554326
1,38561752,38564533
1,38562318,38564533
1,38561371,38564533
1,8118552,8121049
1,8118552,8120468
1,28517279,28518255
1,37342681,37348401
1,41637313,41640660
1,41638428,41639899
1,2188876,2193253
1,2191449,2192871
1,2190723,2193253
1,40773725,40776200
1,36190883,36202553
1,29967987,29968448
1,4449375,4450846
1,4483373,4485456
1,26940352,26943559
1,9319627,9327150
1,28282147,28287749
1,153843,155214
1,153843,157806
1,154068,154554
1,6361572,6363385
1,33209294,33210587
1,12407911,12415684
1,12407908,12415684
1,4512467,4515587
1,34429595,34430607
1,22637989,22639653
1,34604216,34606820
1,41985547,41988787
1,14630130,14630783
1,37971693,37974831
1,39978309,39987241
1,39978309,39985932
1,39978309,39987684
1,12737194,12737559
1,34755591,34757004
1,10703971,10711122
1,10704172,10711122
1,10707081,10711122
1,41007797,41012039
1,3835829,3836444
1,40318207,40321295
1,40318810,40321206
1,27584238,27589382
1,37536306,37542978
