"Number","Length","First.Markers","Last.Markers"
1,41390293,56764,41169562
2,47457896,169785,47811870
3,49969684,152240,49674013
4,39352738,241610,39389497
5,46319452,168712,46005455
6,36073401,129593,35267769
7,35169459,151566,34802161
8,40653050,82978,39870177
9,55810331,90984,55365370
