"Chromosome","GeneStart","GeneEnd","GeneMiddle"
1,58720064,58723884,58721974
1,92262868,92275717,92269292.5
1,176158615,176165124,176161869.5
1,6291159,6296136,6293647.5
1,13622893,13632968,13627930.5
1,18869587,18879686,18874636.5
1,19919829,19928046,19923937.5
1,23066836,23070303,23068569.5
1,40887549,40895249,40891399
1,59764548,59773880,59769214
1,72351502,72353516,72352509
1,108000248,108003944,108002096
1,126868323,126888894,126878608.5
1,163554177,163577938,163566057.5
1,196079164,196087024,196083094
1,233823325,233832835,233828080
1,240117497,240131143,240124320
1,247457453,247464688,247461070.5
1,249560205,249566280,249563242.5
1,282066740,282075328,282071034
1,284161973,284166379,284164176
1,291489138,291508601,291498869.5
1,294648766,294650525,294649645.5
1,295698061,295699850,295698955.5
1,300937652,300941481,300939566.5
1,905490,935174,920332
1,1440627,1443677,1442152
1,2227592,2229037,2228314.5
1,4978121,5000812,4989466.5
1,5896676,5898668,5897672
1,6418991,6423543,6421267
1,6546698,6554085,6550391.5
1,6678375,6687452,6682913.5
1,7469340,7471903,7470621.5
1,8640068,8652006,8646037
1,8776104,8793535,8784819.5
1,10218205,10224619,10221412
1,11003202,11039861,11021531.5
1,12447415,12453851,12450633
1,13106203,13112056,13109129.5
1,13237256,13248640,13242948
1,19262740,19268603,19265671.5
1,19649163,19670004,19659583.5
1,20052430,20055355,20053892.5
1,22279572,22284764,22282168
1,22537393,22545913,22541653
1,23197937,23209960,23203948.5
1,23588733,23593216,23590974.5
1,26336927,26357897,26347412
1,27129742,27134239,27131990.5
1,27648376,27660277,27654326.5
1,28428003,28447289,28437646
1,28695198,28706769,28700983.5
1,28966553,28987973,28977263
1,29748690,29755685,29752187.5
1,30274945,30280555,30277750
1,31587176,31593984,31590580
1,32111816,32114248,32113032
1,32368275,32380591,32374433
1,32635194,32640187,32637690.5
1,34074799,34080335,34077567
1,37484481,37489675,37487078
1,39179154,39192456,39185805
1,42335587,42336464,42336025.5
1,44167008,44171305,44169156.5
1,44171201,44173620,44172410.5
1,44564146,44572208,44568177
1,45219029,45223493,45221261
1,49764170,49812578,49788374
1,53605177,53612553,53608865
1,55948152,55970678,55959415
1,56751949,56774214,56763081.5
1,57801232,57810132,57805682
1,57932300,57937258,57934779
1,59892189,59905191,59898690
1,60145531,60171963,60158747
1,60291006,60303839,60297422.5
1,64092917,64095903,64094410
1,64593832,64625280,64609556
1,64748238,64754765,64751501.5
1,66845609,66847839,66846724
1,70644084,70650088,70647086
1,71824784,71836122,71830453
1,77985032,77994119,77989575.5
1,79030258,79058767,79044512.5
1,80208850,80242596,80225723
1,84407772,84411683,84409727.5
1,84540387,84546007,84543197
1,85851638,85853850,85852744
1,89254102,89263996,89259049
1,100514651,100540662,100527656.5
1,105248004,105251893,105249948.5
1,111406352,111412378,111409365
1,114542647,114557705,114550176
1,118881547,118958178,118919862.5
1,124627555,124693148,124660351.5
1,127778441,127819956,127799198.5
1,133035569,133038739,133037154
1,133820846,133825624,133823235
1,141294255,141296322,141295288.5
1,142997164,143000084,142998624
1,151774233,151788522,151781377.5
1,154006190,154014710,154010450
1,161873237,161878478,161875857.5
1,164101799,164104109,164102954
1,165406946,165416156,165411551
1,170524455,170529542,170526998.5
1,175629879,175637946,175633912.5
1,176553109,176554110,176553609.5
1,180858443,180894463,180876453
1,185848990,185866713,185857851.5
1,187429046,187433283,187431164.5
1,190444689,190447886,190446287.5
1,191626875,191632808,191629841.5
1,196344654,196351528,196348091
1,197255679,197268152,197261915.5
1,199088621,199105607,199097114
1,200800405,200802376,200801390.5
1,205381147,205409728,205395437.5
1,207222415,207226103,207224259
1,212991391,213005161,212998276
1,214687376,214700667,214694021.5
1,214693506,214698211,214695858.5
1,215855648,215879015,215867331.5
1,216398766,216400618,216399692
1,216527804,216533823,216530813.5
1,218481428,218519463,218500445.5
1,219675754,219678011,219676882.5
