"Number","First.Marker","Last.Marker","Length"
1,10045,300993479,307697325
2,364762,236974202,243675191
3,990966,232096198,238017767
4,30681,241029826,250330460
5,534477,217612263,226353449
6,262667,169083700,181357234
7,178768,176600024,185808916
8,44573,175732964,182411202
9,313131,156413618,163004744
10,628920,149811754,152435371
